JAM,WINNER,GAME,THEME
114,Quadratic Games>>>https://quadratic-games.itch.io,Lonely Smoke And Squishy Doors>>>https://quadratic-games.itch.io/lonely-smoke-and-squishy-doors, Smoke without fire!
113,CodeChrisB>>>https://codechrisb.itch.io,Rainbow Cloud>>>https://codechrisb.itch.io/rainbow, Rainbow
112,Anagh&#039;s World>>>https://anaghsworld.itch.io,Taken>>>https://anaghsworld.itch.io/taken, 50% is enough
111,KreisGame>>>https://kreisgame.itch.io,Illuminasino>>>https://kreisgame.itch.io/lluminasino, Triangles
110,sgtwombatstudios>>>https://sgtwombatstudios.itch.io,Tiny Bridge>>>https://sgtwombatstudios.itch.io/tiny-bridge, Give up before it's too late
109,Caterpillar Games>>>https://caterpillargames.itch.io,Lofty Lunch>>>https://caterpillargames.itch.io/lofty-lunch, Kitchen time
108,Felipe Viana>>>https://felipeviana.itch.io,Creepy Chocolate Maze>>>https://felipeviana.itch.io/creepy-chocolate-maze, Creepy vibes
107,Webow>>>https://webow.itch.io,PxlPrcl>>>https://webow.itch.io/pxlprcl, Package delivery
106,Abhi_mehta>>>https://abhi-mehta.itch.io,Uncontrol>>>https://abhi-mehta.itch.io/uncontrol, Time is relative; Unstoppable technology
105,Geek_Joystick>>>https://geek-joystick.itch.io,Tisland>>>https://geek-joystick.itch.io/tisland, Islands
104,Flod-Gamedev>>>https://flod-gamedev.itch.io,Doghouse Hopper>>>https://flod-gamedev.itch.io/doghousehopper, Who let the dogs out?
103,adriendittrick>>>https://adriendittrick.itch.io,Geneillogical>>>https://adriendittrick.itch.io/geneillogical, Family tree; Data
102,Geek_Joystick>>>https://geek-joystick.itch.io,FloodFill>>>https://geek-joystick.itch.io/floodfill, Contrast
101,Hyperspace Wizard>>>https://hyperspace-wizard.itch.io,Bit Shift>>>https://hyperspace-wizard.itch.io/bit-shift, Binary
